district_id,party,cycle,coordinated_expenditures
AK-00,R,2022,78346
AZ-01,R,2022,103000
AZ-02,R,2022,103000
AZ-04,R,2022,103000
AZ-06,R,2022,103000
CA-03,R,2022,103000
CA-09,R,2022,103000
CA-13,R,2022,103000
CA-22,R,2022,103000
CA-26,R,2022,105000
CA-27,R,2022,103000
CA-40,R,2022,105000
CA-41,R,2022,105000
CA-45,R,2022,103000
CA-47,R,2022,103000
CA-49,R,2022,103000
CO-08,R,2022,103000
CT-05,R,2022,102775
FL-13,R,2022,103000
FL-15,R,2022,103000
FL-26,R,2022,100000
FL-27,R,2022,103000
IA-01,R,2022,103000
IA-02,R,2022,103000
IA-03,R,2022,103000
IL-06,R,2022,103000
IL-13,R,2022,103000
IL-17,R,2022,103000
IN-01,R,2022,98000
ME-02,R,2022,105000
MI-03,R,2022,103000
MI-04,R,2022,103000
MI-07,R,2022,103000
MI-08,R,2022,103000
MI-10,R,2022,103000
MN-01,R,2022,203000
MN-02,R,2022,103000
MT-01,R,2022,104690
NC-13,R,2022,103000
NE-02,R,2022,103000
NH-01,R,2022,103000
NJ-07,R,2022,103000
NM-02,R,2022,103000
NM-03,R,2022,103000
NV-01,R,2022,103000
NV-03,R,2022,103000
NV-04,R,2022,103000
NY-01,R,2022,103000
NY-02,R,2022,103000
NY-03,R,2022,103000
NY-04,R,2022,103000
NY-17,R,2022,103000
NY-18,R,2022,103000
NY-19,R,2022,203000
NY-20,R,2022,50000
NY-22,R,2022,103000
NY-25,R,2022,100000
OH-01,R,2022,103000
OH-09,R,2022,103000
OH-13,R,2022,100919
OH-15,R,2022,100000
OR-04,R,2022,103000
OR-05,R,2022,103000
OR-06,R,2022,103000
PA-01,R,2022,103000
PA-07,R,2022,103000
PA-08,R,2022,103000
PA-12,R,2022,60000
PA-17,R,2022,103000
RI-02,R,2022,103000
TX-15,R,2022,103000
TX-28,R,2022,103000
TX-34,R,2022,196000
VA-02,R,2022,103000
VA-07,R,2022,103000
VA-10,R,2022,102975
WA-03,R,2022,105000
WA-08,R,2022,103000
WI-03,R,2022,100000
