district_id,party,cycle,fec_candidate_id,committee_id,coverage_start_date,coverage_end_date,receipts_period,disbursements_period,cash_on_hand_end_period,report_type_full,beginning_image_number
LA-01,R,2020,H0LA01087,C00394957,2020-11-24T00:00:00,2020-12-31T00:00:00,2594539.58,200088.21,6217719.68,YEAR-END,202101319418664422
LA-01,R,2020,H0LA01087,C00394957,2020-10-15T00:00:00,2020-11-23T00:00:00,792768.01,3254084.73,3823268.31,POST-GENERAL,202012039338205012
LA-01,R,2020,H0LA01087,C00394957,2020-10-01T00:00:00,2020-10-14T00:00:00,2888523.4,2598463.01,6284585.03,PRE-GENERAL,202010229332932040
LA-01,R,2020,H0LA01087,C00394957,2020-07-05T00:00:00,2020-09-30T00:00:00,5418988.83,7488888.57,5994524.64,OCTOBER QUARTERLY,202010159294845625
LA-01,R,2020,H0LA01087,C00394957,2020-04-01T00:00:00,2020-07-04T00:00:00,7009742.66,4035109.79,8064424.38,PRE-PRIMARY,202007129244441184
LA-01,R,2020,H0LA01087,C00394957,2020-01-01T00:00:00,2020-03-31T00:00:00,5659062.28,5289345.75,5089791.51,APRIL QUARTERLY,202005159232715589
LA-01,R,2020,H0LA01087,C00394957,2020-01-01T00:00:00,2020-03-31T00:00:00,5659062.28,5289345.75,5089791.51,APRIL QUARTERLY,202004159216893424
LA-01,R,2020,H0LA01087,C00394957,2019-10-01T00:00:00,2019-12-31T00:00:00,4822124.01,4363964.81,4720074.98,YEAR-END,202001319184745082
LA-01,R,2020,H0LA01087,C00394957,2019-07-01T00:00:00,2019-09-30T00:00:00,3455966.21,2054978.09,4261915.78,OCTOBER QUARTERLY,201910159163949859
LA-01,R,2020,H0LA01087,C00394957,2019-04-01T00:00:00,2019-06-30T00:00:00,2983932.7,2712235.81,2860927.66,JULY QUARTERLY,201907159150833170
LA-01,R,2020,H0LA01087,C00394957,2019-01-01T00:00:00,2019-03-31T00:00:00,2534993.91,1731262.65,2589230.77,APRIL QUARTERLY,201905159149708990
LA-01,R,2020,H0LA01087,C00394957,2019-01-01T00:00:00,2019-03-31T00:00:00,2534993.91,1731262.65,2589230.77,APRIL QUARTERLY,201904159146188192
CA-23,R,2020,H6CA22125,C00420935,2020-11-24T00:00:00,2020-12-31T00:00:00,1088542.31,1158051.62,4802132.73,YEAR-END,202101299414036547
CA-23,R,2020,H6CA22125,C00420935,2020-10-15T00:00:00,2020-11-23T00:00:00,2727074.07,3807523.03,4871642.04,POST-GENERAL,202012039339568001
CA-23,R,2020,H6CA22125,C00420935,2020-10-01T00:00:00,2020-10-14T00:00:00,934174.58,2330537.85,5952091.0,PRE-GENERAL,202010229332832298
CA-23,R,2020,H6CA22125,C00420935,2020-07-01T00:00:00,2020-09-30T00:00:00,7065386.48,5980198.64,7348454.27,OCTOBER QUARTERLY,202010159294564851
CA-23,R,2020,H6CA22125,C00420935,2020-04-01T00:00:00,2020-06-30T00:00:00,4770091.0,3666429.01,6263266.43,JULY QUARTERLY,202007159244933423
CA-23,R,2020,H6CA22125,C00420935,2020-02-13T00:00:00,2020-03-31T00:00:00,2702469.55,1549492.36,5159604.44,APRIL QUARTERLY,202004159219202012
CA-23,R,2020,H6CA22125,C00420935,2020-01-01T00:00:00,2020-02-12T00:00:00,1401596.1,1240639.12,3978555.25,PRE-PRIMARY,202002209186609563
CA-23,R,2020,H6CA22125,C00420935,2020-01-01T00:00:00,2020-02-12T00:00:00,1429668.1,1240639.12,4006627.25,PRE-PRIMARY,202003139203828075
CA-23,R,2020,H6CA22125,C00420935,2019-10-01T00:00:00,2019-12-31T00:00:00,2464668.27,2368823.31,3817598.27,YEAR-END,202001319184827048
CA-23,R,2020,H6CA22125,C00420935,2019-07-01T00:00:00,2019-09-30T00:00:00,1669114.82,1441898.75,3721753.31,OCTOBER QUARTERLY,202003099203793919
CA-23,R,2020,H6CA22125,C00420935,2019-07-01T00:00:00,2019-09-30T00:00:00,1669114.82,1441898.75,3721753.31,OCTOBER QUARTERLY,202001229167300937
CA-23,R,2020,H6CA22125,C00420935,2019-07-01T00:00:00,2019-09-30T00:00:00,1669114.82,1441898.75,3721753.31,OCTOBER QUARTERLY,201911189165525695
CA-23,R,2020,H6CA22125,C00420935,2019-07-01T00:00:00,2019-09-30T00:00:00,1669114.82,1441898.75,3721753.31,OCTOBER QUARTERLY,201910159164192223
CA-23,R,2020,H6CA22125,C00420935,2019-04-01T00:00:00,2019-06-30T00:00:00,1565556.69,915991.05,3494537.24,JULY QUARTERLY,201907159150992569
CA-23,R,2020,H6CA22125,C00420935,2019-01-01T00:00:00,2019-03-31T00:00:00,2246884.23,688984.81,2844971.6,APRIL QUARTERLY,201904159146152982
CA-12,D,2020,H8CA05035,C00213512,2020-11-24T00:00:00,2020-12-31T00:00:00,1836086.89,1518817.49,6299373.34,YEAR-END,202101299413961133
CA-12,D,2020,H8CA05035,C00213512,2020-10-15T00:00:00,2020-11-23T00:00:00,4461522.24,4394753.73,5982103.94,POST-GENERAL,202012039340423809
CA-12,D,2020,H8CA05035,C00213512,2020-10-01T00:00:00,2020-10-14T00:00:00,831315.48,4416672.16,5915335.43,PRE-GENERAL,202010229332962588
CA-12,D,2020,H8CA05035,C00213512,2020-07-01T00:00:00,2020-09-30T00:00:00,6402402.87,3377094.38,9500692.11,OCTOBER QUARTERLY,202010159293904614
CA-12,D,2020,H8CA05035,C00213512,2020-04-01T00:00:00,2020-06-30T00:00:00,6010906.04,3070433.29,6475383.62,JULY QUARTERLY,202007159244913756
CA-12,D,2020,H8CA05035,C00213512,2020-02-13T00:00:00,2020-03-31T00:00:00,1768755.81,982279.81,3534910.87,APRIL QUARTERLY,202004159216797031
CA-12,D,2020,H8CA05035,C00213512,2020-01-01T00:00:00,2020-02-12T00:00:00,904958.27,767300.12,2748434.87,PRE-PRIMARY,202002209186605535
CA-12,D,2020,H8CA05035,C00213512,2019-10-01T00:00:00,2019-12-31T00:00:00,2017111.89,1175402.24,2610776.72,YEAR-END,202001319184148962
CA-12,D,2020,H8CA05035,C00213512,2019-07-01T00:00:00,2019-09-30T00:00:00,1145079.45,961917.06,1769067.07,OCTOBER QUARTERLY,201910159164231390
CA-12,D,2020,H8CA05035,C00213512,2019-04-01T00:00:00,2019-06-30T00:00:00,1268960.35,1137225.89,1585904.68,JULY QUARTERLY,201909129163221270
CA-12,D,2020,H8CA05035,C00213512,2019-04-01T00:00:00,2019-06-30T00:00:00,1268960.35,1137225.89,1585904.68,JULY QUARTERLY,201909109163210278
CA-12,D,2020,H8CA05035,C00213512,2019-04-01T00:00:00,2019-06-30T00:00:00,1268960.35,1137225.89,1585904.68,JULY QUARTERLY,201907159150892254
CA-12,D,2020,H8CA05035,C00213512,2019-01-01T00:00:00,2019-03-31T00:00:00,1329266.09,879913.69,1454170.22,APRIL QUARTERLY,201909129163219379
CA-12,D,2020,H8CA05035,C00213512,2019-01-01T00:00:00,2019-03-31T00:00:00,1329266.09,879913.69,1454170.22,APRIL QUARTERLY,201909109163208714
CA-12,D,2020,H8CA05035,C00213512,2019-01-01T00:00:00,2019-03-31T00:00:00,1329266.09,879913.69,1454170.22,APRIL QUARTERLY,201904159146329813
CA-22,R,2020,H8CA20059,C00370056,2020-11-24T00:00:00,2020-12-31T00:00:00,540857.46,412654.28,10907954.28,YEAR-END,202109079466631552
CA-22,R,2020,H8CA20059,C00370056,2020-11-24T00:00:00,2020-12-31T00:00:00,540857.46,412654.28,10907954.28,YEAR-END,202104149443312526
CA-22,R,2020,H8CA20059,C00370056,2020-11-24T00:00:00,2020-12-31T00:00:00,540857.46,412654.28,10908032.78,YEAR-END,202101289413835392
CA-22,R,2020,H8CA20059,C00370056,2020-10-15T00:00:00,2020-11-23T00:00:00,2667770.66,1979168.44,10779751.1,POST-GENERAL,202104149443304808
CA-22,R,2020,H8CA20059,C00370056,2020-10-15T00:00:00,2020-11-23T00:00:00,2667770.66,1998184.88,10760813.16,POST-GENERAL,202012039341252217
CA-22,R,2020,H8CA20059,C00370056,2020-10-15T00:00:00,2020-11-23T00:00:00,2667770.66,1979168.44,10779829.6,POST-GENERAL,202101269413416647
CA-22,R,2020,H8CA20059,C00370056,2020-10-15T00:00:00,2020-11-23T00:00:00,2667770.66,1998184.88,10760813.16,POST-GENERAL,202012229393450590
CA-22,R,2020,H8CA20059,C00370056,2020-10-15T00:00:00,2020-11-23T00:00:00,2667770.66,1979168.44,10779751.1,POST-GENERAL,202109079466623845
CA-22,R,2020,H8CA20059,C00370056,2020-10-01T00:00:00,2020-10-14T00:00:00,1208947.26,1915966.29,10091227.38,PRE-GENERAL,202010229336296372
CA-22,R,2020,H8CA20059,C00370056,2020-10-01T00:00:00,2020-10-14T00:00:00,1208947.26,1915966.29,10091148.88,PRE-GENERAL,202104139443285019
CA-22,R,2020,H8CA20059,C00370056,2020-10-01T00:00:00,2020-10-14T00:00:00,1208947.26,1915966.29,10091227.38,PRE-GENERAL,202012229393443728
CA-22,R,2020,H8CA20059,C00370056,2020-07-01T00:00:00,2020-09-30T00:00:00,6136374.71,5871973.18,10798246.41,OCTOBER QUARTERLY,202010159295297130
CA-22,R,2020,H8CA20059,C00370056,2020-07-01T00:00:00,2020-09-30T00:00:00,6136482.21,5871973.18,10798167.91,OCTOBER QUARTERLY,202104129443264355
CA-22,R,2020,H8CA20059,C00370056,2020-04-01T00:00:00,2020-06-30T00:00:00,4555813.96,2786350.09,10533658.88,JULY QUARTERLY,202104129443249657
CA-22,R,2020,H8CA20059,C00370056,2020-04-01T00:00:00,2020-06-30T00:00:00,4555713.96,2786350.09,10533844.88,JULY QUARTERLY,202007159250087599
CA-22,R,2020,H8CA20059,C00370056,2020-02-13T00:00:00,2020-03-31T00:00:00,2289662.87,1244234.54,8764481.01,APRIL QUARTERLY,202006239244179402
CA-22,R,2020,H8CA20059,C00370056,2020-02-13T00:00:00,2020-03-31T00:00:00,2289376.87,1244234.54,8764195.01,APRIL QUARTERLY,202010149285741275
CA-22,R,2020,H8CA20059,C00370056,2020-02-13T00:00:00,2020-03-31T00:00:00,2289476.87,1244234.54,8764370.01,APRIL QUARTERLY,202004159219193550
CA-22,R,2020,H8CA20059,C00370056,2020-02-13T00:00:00,2020-03-31T00:00:00,2289376.87,1244234.54,8764195.01,APRIL QUARTERLY,202104119443161828
CA-22,R,2020,H8CA20059,C00370056,2020-01-01T00:00:00,2020-02-12T00:00:00,1651707.33,1123310.36,7719052.68,PRE-PRIMARY,202006239244175226
CA-22,R,2020,H8CA20059,C00370056,2020-01-01T00:00:00,2020-02-12T00:00:00,1651707.33,1123310.36,7719052.68,PRE-PRIMARY,202010099285072400
CA-22,R,2020,H8CA20059,C00370056,2020-01-01T00:00:00,2020-02-12T00:00:00,1651782.33,1123310.36,7719127.68,PRE-PRIMARY,202002279203321639
CA-22,R,2020,H8CA20059,C00370056,2020-01-01T00:00:00,2020-02-12T00:00:00,1651982.33,1123310.36,7719327.68,PRE-PRIMARY,202002209186965605
CA-22,R,2020,H8CA20059,C00370056,2020-01-01T00:00:00,2020-02-12T00:00:00,1651707.33,1123310.36,7719052.68,PRE-PRIMARY,202101269413412415
CA-22,R,2020,H8CA20059,C00370056,2019-10-01T00:00:00,2019-12-31T00:00:00,2132974.79,1905260.43,7190655.71,YEAR-END,202005089232619696
CA-22,R,2020,H8CA20059,C00370056,2019-10-01T00:00:00,2019-12-31T00:00:00,2132974.79,1905260.43,7190655.71,YEAR-END,202001249167352334
CA-22,R,2020,H8CA20059,C00370056,2019-07-01T00:00:00,2019-09-30T00:00:00,2611806.67,1304435.36,6962941.35,OCTOBER QUARTERLY,201910249165295504
CA-22,R,2020,H8CA20059,C00370056,2019-07-01T00:00:00,2019-09-30T00:00:00,2611806.67,1304435.36,6962941.35,OCTOBER QUARTERLY,201910159164187618
CA-22,R,2020,H8CA20059,C00370056,2019-04-01T00:00:00,2019-06-30T00:00:00,1858618.73,1118941.56,5655570.04,JULY QUARTERLY,201907159150848210
CA-22,R,2020,H8CA20059,C00370056,2019-01-01T00:00:00,2019-03-31T00:00:00,1216815.46,539550.08,4915892.87,APRIL QUARTERLY,201904169146408121
CA-22,R,2020,H8CA20059,C00370056,2019-01-01T00:00:00,2019-03-31T00:00:00,1216815.46,539550.08,4915892.87,APRIL QUARTERLY,201907159150603702
CA-22,R,2020,H8CA20059,C00370056,2019-01-01T00:00:00,2019-03-31T00:00:00,1216815.46,539550.08,4915892.87,APRIL QUARTERLY,201904159146388705
CA-22,R,2020,H8CA20059,C00370056,2019-01-01T00:00:00,2019-03-31T00:00:00,1216815.46,539550.08,4915892.87,APRIL QUARTERLY,201906299150435650
TX-02,R,2020,H8TX02166,C00660795,2020-11-24T00:00:00,2020-12-31T00:00:00,342724.96,524167.27,1852714.69,YEAR-END,202101299417698652
TX-02,R,2020,H8TX02166,C00660795,2020-11-24T00:00:00,2020-12-31T00:00:00,342724.96,524167.27,1852714.69,YEAR-END,202109139466664137
TX-02,R,2020,H8TX02166,C00660795,2020-10-15T00:00:00,2020-11-23T00:00:00,2682534.79,4378604.6,2034157.0,POST-GENERAL,202109139466660259
TX-02,R,2020,H8TX02166,C00660795,2020-10-15T00:00:00,2020-11-23T00:00:00,2682534.79,4378604.6,1869432.17,POST-GENERAL,202012039339575780
TX-02,R,2020,H8TX02166,C00660795,2020-10-15T00:00:00,2020-11-23T00:00:00,2682534.79,4378604.6,2034157.0,POST-GENERAL,202012219393388831
TX-02,R,2020,H8TX02166,C00660795,2020-10-01T00:00:00,2020-10-14T00:00:00,1433092.46,1526970.63,3730226.81,PRE-GENERAL,202108209466388699
TX-02,R,2020,H8TX02166,C00660795,2020-10-01T00:00:00,2020-10-14T00:00:00,1433092.46,1526970.63,3730226.81,PRE-GENERAL,202012219393386972
TX-02,R,2020,H8TX02166,C00660795,2020-10-01T00:00:00,2020-10-14T00:00:00,1433092.46,1526970.63,3565501.98,PRE-GENERAL,202010229333239526
TX-02,R,2020,H8TX02166,C00660795,2020-07-01T00:00:00,2020-09-30T00:00:00,5732647.39,5932265.69,3824104.98,OCTOBER QUARTERLY,202012219393381701
TX-02,R,2020,H8TX02166,C00660795,2020-07-01T00:00:00,2020-09-30T00:00:00,5553311.91,5917655.04,3659380.15,OCTOBER QUARTERLY,202010159295145602
TX-02,R,2020,H8TX02166,C00660795,2020-04-01T00:00:00,2020-06-30T00:00:00,2692934.65,1788931.27,4023723.28,JULY QUARTERLY,202007159249961025
TX-02,R,2020,H8TX02166,C00660795,2020-02-13T00:00:00,2020-03-31T00:00:00,1092613.89,628322.77,3119719.9,APRIL QUARTERLY,202007249260812506
TX-02,R,2020,H8TX02166,C00660795,2020-02-13T00:00:00,2020-03-31T00:00:00,1092613.89,628322.77,3119719.9,APRIL QUARTERLY,202004159219169568
TX-02,R,2020,H8TX02166,C00660795,2020-01-01T00:00:00,2020-02-12T00:00:00,1213041.41,719046.96,2655428.78,PRE-PRIMARY,202002209186907741
TX-02,R,2020,H8TX02166,C00660795,2019-10-01T00:00:00,2019-12-31T00:00:00,1564656.67,1028493.33,2161434.33,YEAR-END,202001319184855202
TX-02,R,2020,H8TX02166,C00660795,2019-10-01T00:00:00,2019-12-31T00:00:00,1564656.67,1028493.33,2161434.33,YEAR-END,202007069244321946
TX-02,R,2020,H8TX02166,C00660795,2019-07-01T00:00:00,2019-09-30T00:00:00,1371274.71,709720.66,1625270.99,OCTOBER QUARTERLY,202108189466317505
TX-02,R,2020,H8TX02166,C00660795,2019-07-01T00:00:00,2019-09-30T00:00:00,1371274.71,709720.66,1625270.99,OCTOBER QUARTERLY,202001099167132516
TX-02,R,2020,H8TX02166,C00660795,2019-07-01T00:00:00,2019-09-30T00:00:00,1371274.71,709720.66,1625270.99,OCTOBER QUARTERLY,201910159164200952
TX-02,R,2020,H8TX02166,C00660795,2019-04-01T00:00:00,2019-06-30T00:00:00,875358.58,279890.25,963716.94,JULY QUARTERLY,201907159150854525
TX-02,R,2020,H8TX02166,C00660795,2019-01-01T00:00:00,2019-03-31T00:00:00,484752.2,137682.06,368248.61,APRIL QUARTERLY,201904159146346690
NY-14,D,2020,H8NY15148,C00639591,2020-11-24T00:00:00,2020-12-31T00:00:00,1779866.08,558426.12,4297382.94,YEAR-END,202101319423894530
NY-14,D,2020,H8NY15148,C00639591,2020-11-24T00:00:00,2020-12-31T00:00:00,1779866.08,590738.47,4028246.18,YEAR-END,202203219495853385
NY-14,D,2020,H8NY15148,C00639591,2020-11-24T00:00:00,2020-12-31T00:00:00,1779866.08,558426.12,4297382.94,YEAR-END,202108179466306936
NY-14,D,2020,H8NY15148,C00639591,2020-11-24T00:00:00,2020-12-31T00:00:00,1779866.08,593628.39,4025356.26,YEAR-END,202204109495982205
NY-14,D,2020,H8NY15148,C00639591,2020-10-15T00:00:00,2020-11-23T00:00:00,1682370.77,2643329.41,3075942.98,POST-GENERAL,202102159427792663
NY-14,D,2020,H8NY15148,C00639591,2020-10-15T00:00:00,2020-11-23T00:00:00,1664224.17,2727743.27,2839118.57,POST-GENERAL,202203219495848796
NY-14,D,2020,H8NY15148,C00639591,2020-10-15T00:00:00,2020-11-23T00:00:00,1682370.77,2643329.41,3075942.98,POST-GENERAL,202108179466300021
NY-14,D,2020,H8NY15148,C00639591,2020-10-15T00:00:00,2020-11-23T00:00:00,1682370.77,2643329.41,3075942.98,POST-GENERAL,202101319418606085
NY-14,D,2020,H8NY15148,C00639591,2020-10-15T00:00:00,2020-11-23T00:00:00,1682370.77,2632346.27,3114191.53,POST-GENERAL,202012039337587380
NY-14,D,2020,H8NY15148,C00639591,2020-10-01T00:00:00,2020-10-14T00:00:00,673932.47,629389.26,3902637.67,PRE-GENERAL,202203219495846674
NY-14,D,2020,H8NY15148,C00639591,2020-10-01T00:00:00,2020-10-14T00:00:00,677432.47,625071.12,4064167.03,PRE-GENERAL,202010229335356915
NY-14,D,2020,H8NY15148,C00639591,2020-10-01T00:00:00,2020-10-14T00:00:00,677432.47,629389.26,4036901.62,PRE-GENERAL,202101319418478612
NY-14,D,2020,H8NY15148,C00639591,2020-10-01T00:00:00,2020-10-14T00:00:00,677432.47,625071.12,4064167.03,PRE-GENERAL,202012019337236050
NY-14,D,2020,H8NY15148,C00639591,2020-07-01T00:00:00,2020-09-30T00:00:00,4440901.93,3380209.1,4011805.68,OCTOBER QUARTERLY,202010159295438774
NY-14,D,2020,H8NY15148,C00639591,2020-07-01T00:00:00,2020-09-30T00:00:00,4440881.93,3381323.74,4010671.04,OCTOBER QUARTERLY,202012019337215487
NY-14,D,2020,H8NY15148,C00639591,2020-07-01T00:00:00,2020-09-30T00:00:00,4440881.93,3380783.1,4011211.68,OCTOBER QUARTERLY,202010219326780070
NY-14,D,2020,H8NY15148,C00639591,2020-07-01T00:00:00,2020-09-30T00:00:00,4440881.93,3395619.44,3988858.41,OCTOBER QUARTERLY,202101319418459485
NY-14,D,2020,H8NY15148,C00639591,2020-07-01T00:00:00,2020-09-30T00:00:00,4426281.93,3421555.33,3858094.46,OCTOBER QUARTERLY,202203219495829434
NY-14,D,2020,H8NY15148,C00639591,2020-06-04T00:00:00,2020-06-30T00:00:00,2128806.45,3768130.16,2962555.44,JULY QUARTERLY,202007159249988752
NY-14,D,2020,H8NY15148,C00639591,2020-06-04T00:00:00,2020-06-30T00:00:00,2128806.45,3768130.16,2951112.85,JULY QUARTERLY,202009159267186419
NY-14,D,2020,H8NY15148,C00639591,2020-06-04T00:00:00,2020-06-30T00:00:00,2132847.15,3786712.04,2853367.86,JULY QUARTERLY,202203219495825236
NY-14,D,2020,H8NY15148,C00639591,2020-06-04T00:00:00,2020-06-30T00:00:00,2128806.45,3774626.7,2943595.92,JULY QUARTERLY,202101309418398544
NY-14,D,2020,H8NY15148,C00639591,2020-04-01T00:00:00,2020-06-03T00:00:00,2420348.0,1342477.41,4589416.17,PRE-PRIMARY,202101309418336536
NY-14,D,2020,H8NY15148,C00639591,2020-04-01T00:00:00,2020-06-03T00:00:00,2420348.0,1330318.6,4601879.15,PRE-PRIMARY,202006119239724887
NY-14,D,2020,H8NY15148,C00639591,2020-04-01T00:00:00,2020-06-03T00:00:00,2412827.87,1352070.68,4507232.75,PRE-PRIMARY,202203219495817726
NY-14,D,2020,H8NY15148,C00639591,2020-04-01T00:00:00,2020-06-03T00:00:00,2420348.0,1341761.19,4590436.56,PRE-PRIMARY,202007139244511346
NY-14,D,2020,H8NY15148,C00639591,2020-01-01T00:00:00,2020-03-31T00:00:00,2721383.79,2146338.55,3446475.56,APRIL QUARTERLY,202203219495806893
NY-14,D,2020,H8NY15148,C00639591,2020-01-01T00:00:00,2020-03-31T00:00:00,2730853.79,2121009.25,3511545.58,APRIL QUARTERLY,202101309418322562
NY-14,D,2020,H8NY15148,C00639591,2020-01-01T00:00:00,2020-03-31T00:00:00,2730853.79,2120705.08,3511849.75,APRIL QUARTERLY,202004159216713089
NY-14,D,2020,H8NY15148,C00639591,2020-01-01T00:00:00,2020-03-31T00:00:00,2730853.79,2120705.88,3511848.95,APRIL QUARTERLY,202006119239667501
NY-14,D,2020,H8NY15148,C00639591,2019-10-01T00:00:00,2019-12-31T00:00:00,1998414.63,1006580.05,2901701.04,YEAR-END,202001319184830399
NY-14,D,2020,H8NY15148,C00639591,2019-10-01T00:00:00,2019-12-31T00:00:00,1980376.17,1008871.31,2871430.32,YEAR-END,202203219495800002
NY-14,D,2020,H8NY15148,C00639591,2019-10-01T00:00:00,2019-12-31T00:00:00,1998414.63,1006082.76,2902198.33,YEAR-END,202004099216623544
NY-14,D,2020,H8NY15148,C00639591,2019-07-01T00:00:00,2019-09-30T00:00:00,1427749.16,940823.05,1906595.46,OCTOBER QUARTERLY,202001319184117500
NY-14,D,2020,H8NY15148,C00639591,2019-07-01T00:00:00,2019-09-30T00:00:00,1421079.16,940823.05,1899925.46,OCTOBER QUARTERLY,202203219495796615
NY-14,D,2020,H8NY15148,C00639591,2019-07-01T00:00:00,2019-09-30T00:00:00,1427749.16,937552.05,1909866.46,OCTOBER QUARTERLY,201910159163880274
NY-14,D,2020,H8NY15148,C00639591,2019-04-01T00:00:00,2019-06-30T00:00:00,1225643.66,632335.31,1419669.35,JULY QUARTERLY,201907159150989728
NY-14,D,2020,H8NY15148,C00639591,2019-01-01T00:00:00,2019-03-31T00:00:00,727941.77,266817.36,826361.0,APRIL QUARTERLY,201904159146332260
NY-14,D,2020,H8NY15148,C00639591,2019-01-01T00:00:00,2019-03-31T00:00:00,727941.77,266817.36,826361.0,APRIL QUARTERLY,201906169150042678
OH-04,R,2020,H6OH04082,C00416594,2020-11-24T00:00:00,2020-12-31T00:00:00,288472.19,251990.37,6113812.09,YEAR-END,202101319424743901
OH-04,R,2020,H6OH04082,C00416594,2020-10-15T00:00:00,2020-11-23T00:00:00,2063708.57,1273653.26,5074187.71,POST-GENERAL,202012039339995987
OH-04,R,2020,H6OH04082,C00416594,2020-10-15T00:00:00,2020-11-23T00:00:00,2019632.76,1307684.0,6077330.27,POST-GENERAL,202102019424747528
OH-04,R,2020,H6OH04082,C00416594,2020-10-01T00:00:00,2020-10-14T00:00:00,779945.09,572841.84,5365381.51,PRE-GENERAL,202101319424740846
OH-04,R,2020,H6OH04082,C00416594,2020-10-01T00:00:00,2020-10-14T00:00:00,786305.09,569737.22,4284132.4,PRE-GENERAL,202010229326799563
OH-04,R,2020,H6OH04082,C00416594,2020-07-01T00:00:00,2020-09-30T00:00:00,6200090.32,5289535.74,4067564.53,OCTOBER QUARTERLY,202010149293876571
OH-04,R,2020,H6OH04082,C00416594,2020-07-01T00:00:00,2020-09-30T00:00:00,6174480.59,5372157.21,5158278.26,OCTOBER QUARTERLY,202101319424720873
OH-04,R,2020,H6OH04082,C00416594,2020-04-09T00:00:00,2020-06-30T00:00:00,3493674.72,2916411.89,3157009.95,JULY QUARTERLY,202007159245076701
OH-04,R,2020,H6OH04082,C00416594,2020-04-09T00:00:00,2020-06-30T00:00:00,4039385.84,2013491.67,4355939.88,JULY QUARTERLY,202109099466638407
OH-04,R,2020,H6OH04082,C00416594,2020-04-09T00:00:00,2020-06-30T00:00:00,4039400.84,2013491.67,4355954.88,JULY QUARTERLY,202101319424069374
OH-04,R,2020,H6OH04082,C00416594,2020-04-01T00:00:00,2020-04-08T00:00:00,48846.96,119584.27,2579747.12,PRE-PRIMARY,202004159219299338
OH-04,R,2020,H6OH04082,C00416594,2020-04-01T00:00:00,2020-04-08T00:00:00,116211.86,104529.3,2330045.71,PRE-PRIMARY,202101319423900481
OH-04,R,2020,H6OH04082,C00416594,2020-02-27T00:00:00,2020-03-31T00:00:00,733757.66,452587.97,2650484.43,APRIL QUARTERLY,202004159216801070
OH-04,R,2020,H6OH04082,C00416594,2020-02-27T00:00:00,2020-03-31T00:00:00,706914.39,788090.33,2318363.15,APRIL QUARTERLY,202101319423767117
OH-04,R,2020,H6OH04082,C00416594,2020-01-01T00:00:00,2020-02-26T00:00:00,1067986.04,378231.51,2399539.09,PRE-PRIMARY,202101319423692369
OH-04,R,2020,H6OH04082,C00416594,2020-01-01T00:00:00,2020-02-26T00:00:00,1124870.77,866307.77,2367102.41,PRE-PRIMARY,202003049203741825
OH-04,R,2020,H6OH04082,C00416594,2020-01-01T00:00:00,2020-02-26T00:00:00,1124855.77,875445.44,2369314.74,PRE-PRIMARY,202004039216584216
OH-04,R,2020,H6OH04082,C00416594,2019-10-01T00:00:00,2019-12-31T00:00:00,1364027.28,926590.43,2108539.41,YEAR-END,202002039186344471
OH-04,R,2020,H6OH04082,C00416594,2019-10-01T00:00:00,2019-12-31T00:00:00,1364027.28,926590.43,2119904.41,YEAR-END,202004039216586089
OH-04,R,2020,H6OH04082,C00416594,2019-10-01T00:00:00,2019-12-31T00:00:00,1364027.28,926590.43,1879374.22,YEAR-END,202001249167346410
OH-04,R,2020,H6OH04082,C00416594,2019-10-01T00:00:00,2019-12-31T00:00:00,1465851.07,947077.8,1709784.56,YEAR-END,202101319423681679
OH-04,R,2020,H6OH04082,C00416594,2019-07-01T00:00:00,2019-09-30T00:00:00,1197306.27,597803.73,1682467.56,OCTOBER QUARTERLY,202004029216576049
OH-04,R,2020,H6OH04082,C00416594,2019-07-01T00:00:00,2019-09-30T00:00:00,1029750.64,635588.64,1191011.29,OCTOBER QUARTERLY,202101319418702835
OH-04,R,2020,H6OH04082,C00416594,2019-07-01T00:00:00,2019-09-30T00:00:00,1196996.27,597803.73,1462875.9,OCTOBER QUARTERLY,201910169164977531
OH-04,R,2020,H6OH04082,C00416594,2019-07-01T00:00:00,2019-09-30T00:00:00,1197306.27,597803.73,1682467.56,OCTOBER QUARTERLY,202004029216577283
OH-04,R,2020,H6OH04082,C00416594,2019-07-01T00:00:00,2019-09-30T00:00:00,1196996.27,597803.73,1671102.56,OCTOBER QUARTERLY,201911129165353623
OH-04,R,2020,H6OH04082,C00416594,2019-07-01T00:00:00,2019-09-30T00:00:00,1195996.27,617742.26,1441937.37,OCTOBER QUARTERLY,201910159163906684
OH-04,R,2020,H6OH04082,C00416594,2019-04-01T00:00:00,2019-06-30T00:00:00,738865.03,530638.37,1071910.02,JULY QUARTERLY,201908229163097098
OH-04,R,2020,H6OH04082,C00416594,2019-04-01T00:00:00,2019-06-30T00:00:00,738865.03,530638.37,1082965.02,JULY QUARTERLY,202003179203863143
OH-04,R,2020,H6OH04082,C00416594,2019-04-01T00:00:00,2019-06-30T00:00:00,575972.06,569460.6,796849.29,JULY QUARTERLY,202101319418644651
OH-04,R,2020,H6OH04082,C00416594,2019-04-01T00:00:00,2019-06-30T00:00:00,738990.03,530638.37,1072035.02,JULY QUARTERLY,201907159150752287
OH-04,R,2020,H6OH04082,C00416594,2019-01-01T00:00:00,2019-03-31T00:00:00,484183.41,343190.4,874738.36,APRIL QUARTERLY,202003079203793468
